id,body,picture,actor,time,class,experiment_group
1,pun intended ;),bryan-meme.jpeg,bryanc_15,-20:35:00,normal,var1
2,"its me bryan the bot! jk, i'm a real human. i'm a soph in highschool and I love science. Look at this cool thing we made! and it moves... #robotics",bryan-science.png,bryanc_15,-1:35.000,normal,var1
3,"game night with friends, guess who won?",bryan-game.jpg,bryanc_15,2:30.000,normal,var1
4,spot my new ride??😎,dave-car.jpg,davefish40,-20:35:00,normal,var1
5,major missing... what better intro than my fav vacation,dave-vacation.png,davefish40,3:16,normal,var1
8,just me and my friends swingin through life 😄👯‍♀️ #goodtimes,Night Aesthetic.jpeg,emilymillsss,02:15.000,normal,var1
9,All for one and one for all!,Emily_sports.jpg,emilymillsss,-20:00.000,normal,var1
10,i take the best pics of my friends - ur welcome! 😇,emily-friend.jpg,emilymillsss,-4:00.000,normal,var1
11,"Radiating confidence, one cheer at a time!",Emily_cheerleading.jpg,emilymillsss,-5:00.000,normal,var1
13,I'm sarah! I usually don't share too much online but here is my favorite way to spend my afternoons. dm me for deets,art_sarah.jpg,sarah.j,-20:00.000,normal,var1
15,Solitude is not the same as loneliness. Solitude is a solitary boat floating in a sea of possible companions.,Sea_allaboutalice.jpg,allaboutalice,1:00.000,normal,var1
16,A sunset is the sun’s fiery kiss to the night.,Dusk_allaboutalice.jpg,allaboutalice,-5:00.000,normal,var1
17,"I rise to taste the dawn, and find that love alone will shine today.",Dawn_allaboutalice.jpg,allaboutalice,-10:00.000,normal,var1
21,Kickflip attempt #1000,pexels-martin-lopez-2157190.jpg,frankjones10,3:00.000,normal,var1
22,Thats why im here LMAO,meme1.jpg,difrad,-65:00.000,normal,var1
23,ESP AFTER DOING MY HW,meme3.jpg,difrad,-15:00.000,normal,var1
24,My samoyed :)))))),doggy.jpg,john73,-24:30:00,normal,var1
27,I made a boat today!,3d_print.jpg,ematthews,-2:45.000,normal,var1
28,Sneakily took a pic of my bro reading ,reading.jpg,ematthews,25:39:00,normal,var1
30,Guess which one I am?,coach-8.jpg,ematthews,32:00.000,normal,var1
32,My samoyed always does this to get treats,coach-10.jpg,john73,59:03:00,normal,var1
34,hiking trip,mkapa-3.jpg,M.Kapadia92,65:09:00,normal,var1
35,lunch on thursdays SLAPS,mkapa-4.jpg,sweetpea,11:14,normal,var1
36,we lookin gooood for homecoming,mkapa-5.jpg,localewis,-13:09:00,normal,var1
37,my skyrim character is so cool,mkapa-6.jpg,Jcole9,-10:00.000,normal,var1
38,shopping at five below!!,squishmallowsss.png,lee.alexa,39:11:00,normal,var1
39,ur wrong if u think these cookies ain't fire,sugar-cookies!.png,M.Kapadia92,-12:00.000,normal,var1
40,squad⭐⭐⭐⭐,friends-are-stars.png,sweetpea,-15:00.000,normal,var1
41,camera eats first😋,camera-eats-first.png,M.Kapadia92,11:00.000,normal,var1
42,first time trying boba. it was so good😋,magic-lemonade.png,_aikira_,58:30:00,normal,var1
43,i love flowers,purple-flowers.png,_aikira_,-20:11:00,normal,var1
44,late night vibes🌃,theater-night.png,MannyDL34,-12:40.000,normal,var1
45,pookie so cuteeee,orangecat.png,sweetpea,-10:25:00,normal,var1
46,girl dinner !,sourpatchkids.png,ancho-n-cayenne,11:41,normal,var1
47,halftime show was cool,USED_Screenshot 2024-03-06 at 3.28.31 PM.png,fusionfeast,25:42:00,normal,var1
48,happy bday to me,bday-cake.jpg,ancho-n-cayenne,38:43:00,normal,var1
49,you sparkle <3,light.jpg,ancho-n-cayenne,48:14:00,normal,var1
50,DUCK!!!!!,duck.png,ancho-n-cayenne,-45:10.000,normal,var1
51,after the rain 🌈,rainbow.png,Jcole9,-4:00.000,normal,var1
52,my bff❤️,dog-on-grass.jpg,fusionfeast,-12:01.000,normal,var1
53,"No soap, no hope XD",Does Not Work.jpg,MannyDL34,12:02,normal,var1
54,It looks like a thunderstorm is around the corner,Darkness.jpg,Jcole9,36:03:00,normal,var1
55,Do you want to build a snowman~ ,Snowman.jpg,localewis,60:04:00,normal,var1
56,"Just so you know, I'm the coolest puppy ever",Corgi.jpg,john73,-13:15:00,normal,var1
57,The best is yet to come,Over the bridge.jpg,localewis,11:16,normal,var1
